Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/canonical.html-1,100,116,86,1231,113.70,0.000%,.16831,0.05,0.05,298.0
/success.txt-2,100,49,42,75,4.58,0.000%,.16835,0.04,0.05,216.0
/success.txt-3,100,49,42,69,3.74,0.000%,.16835,0.04,0.05,216.0
/vuce-zee-api-autorizacion/login/-4,100,79,69,129,9.32,0.000%,.16834,0.74,0.09,4500.9
/vuce-zee-menu/assets/images/logo_vuce_footer_login.svg-7,100,23,17,69,7.30,0.000%,.16836,0.41,0.11,2465.4
/vuce-zee-menu/assets/images/logo_vuce_header_login.svg-6,100,53,36,122,14.02,0.000%,.16833,8.58,0.11,52222.2
/vuce-zee-menu/assets/images/logo_iso_9001.png-10,100,30,22,93,12.63,0.000%,.16834,11.12,0.11,67659.6
/submit/activity-stream/sessions/1/244cdef8-f70c-4a11-835b-5b743f24224a-5,100,336,287,414,26.43,0.000%,.16826,0.14,0.29,823.7
/submit/firefox-desktop/messaging-system/1/810db2d5-79f7-4d1a-a088-bb6a1c37df8f-9,100,232,193,301,19.29,0.000%,.16830,0.13,0.33,816.0
/submit/firefox-desktop/newtab/1/5f6e683f-bcd0-4a50-8341-927b6f6d7a30-11,100,233,190,289,18.86,0.000%,.16830,0.14,0.38,824.4
/submit/firefox-desktop/use-counters/1/dede9d59-7127-4c43-a41e-5ffaf76b9db9-12,100,245,196,293,21.28,0.000%,.16829,0.14,1.04,829.7
/vuce-zee-menu/assets/images/logo_mincetur_header_login.svg-8,100,52,42,137,15.98,0.000%,.16833,39.27,0.11,238895.0
/submit/firefox-desktop/pageload/1/d2cd0569-6e81-478a-8e5b-022139dbec0b-13,100,229,190,262,18.43,0.000%,.16829,0.13,0.26,820.9
/vuce-zee-api-autorizacion/auth-14,100,198,159,272,27.84,0.000%,.16829,1.18,0.68,7194.9
/submit/firefox-desktop/newtab/1/b973f1fb-9465-46a0-aa40-3f1ef5221de9-15,100,232,198,275,17.64,0.000%,.16829,0.13,0.24,813.8
/vuce-zee-mf/vuce-zee-root-config.js-17,100,26,20,92,10.42,0.000%,.16836,2.87,0.46,17446.8
/submit/firefox-desktop/baseline/1/890702ef-b2e2-467c-a831-f558c6924bb9-18,100,233,189,330,23.85,0.000%,.16830,0.14,0.34,822.0
